Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
kǂx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+,-"
kǂʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
kǂ͓ˡ,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,"-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+"
kǂ͓ˡx,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,"-,+,-",-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+,-"
kǂ͓ˡʰ,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,"-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
kǃx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",+,-,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+,-"
kǃʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
tsˠ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
tˠ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
t̠ʃˠ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
