iso639_3;data_type;text_type;transcription_type;tokens;resource_setting;transcription_convention;path-pdf;path-ortho;path-transcription;link;last_accessed;availability;language_variety;language_name;100LC;script;notes_on_source;notes;;;;;;;;
arz;text file;word list;Broad;113;low;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Egyptian Arabic;true;Arabic;WikiPron Data, mined from Wiktionary;;;;;;;;;
arz;pdf;full text (the north wind and the sun);unk;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;spoken Cairene;Egyptian Arabic;true;;;;;;;;;;;
asm;text file;word list;Broad;2’350;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Assamese;false;Bengali;;;;;;;;;;
ast;text file;word list;Narrow;133;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Asturian;false;Latin;;;;;;;;;;
ayl;text file;word list;Broad;157;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Libyan Arabic;false;Arabic;;;;;;;;;;
aze;text file;word list;Broad;259;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
ayz;;;;;;;;;;;;;;Maybrat-Karon;true;;;;;;;;;;;
aze;text file;word list;Narrow;2’821;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
aze;text file;word list;Narrow;2’635;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;44394;0;;Azerbaijani;false;Latin;;;;;;;;;;
bak;text file;word list;Broad;108;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bashkir;false;Cyrillic;;;;;;;;;;
bak;text file;word list;Narrow;2’049;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bashkir;false;Cyrillic;;;;;;;;;;
ban;text file;word list;Broad;186;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Balinese;false;Balinese;;;;;;;;;;
bcl;text file;word list;Broad;100;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Central Bikol;false;Latin;;;;;;;;;;
bdq;text file;word list;Broad;161;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bahnar;false;Latin;;;;;;;;;;
ben;image;full text (the north wind and the sun);;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Calcutta colloquial;Bengali;false;;;;;;;;;;;
bel;text file;word list;Narrow;3’203;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Belarusian;false;Cyrillic;;;;;;;;;;
ben;text file;word list;Broad;792;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bengali;false;Bengali;;;;;;;;;;
ben;text file;word list;Narrow;168;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bengali;false;Bengali;;;;;;;;;;
bhq;;;;;;;;;;;;;;Tukang Besi South;true;;;;;;;;;;;
blt;text file;word list;Broad;143;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;19.10.2021;0;;Tai Dam;false;Tai Viet;WikiPron Data, mined from Wiktionary;;;;;;;;;
bmi;;;;;;;;;;;;;;Bagirmi;true;;;;;;;;;;;
bre;text file;word list;Broad;495;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Breton;false;Latin;;;;;;;;;;
bsk;;;;;;;;;;;;;;Burushaski;true;;;;;;;;;;;
bsn;;;;;;;;;;;;;;Barasana-Eduria;true;;;;;;;;;;;
bul;text file;word list;Broad;31’881;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bulgarian;false;Cyrillic;;;;;;;;;;
bul;text file;word list;Broad;31’782;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bulgarian;false;Cyrillic;;;;;;;;;;
bul;text file;word list;Narrow;6’377;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Bulgarian;false;Cyrillic;;;;;;;;;;
cat;text file;word list;Broad;55’829;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;"Catalan; Valencian";false;Latin;;;;;;;;;;
cbn;text file;word list;Broad;116;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Nyahkur;false;Thai;;;;;;;;;;
ceb;text file;word list;Broad;326;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Cebuano;false;Latin;;;;;;;;;;
ces;text file;word list;Broad;3’222;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Czech;false;Latin;;;;;;;;;;
ces;text file;word list;Narrow;26’778;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Czech;false;Latin;;;;;;;;;;
cha;;;;;;;;;;;;;;Chamorro;true;;;;;;;;;;;
chb;text file;word list;Broad;122;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Chibcha;false;Latin;;;;;;;;;;
cho;text file;word list;Broad;112;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Choctaw;false;Latin;;;;;;;;;;
ckt;;;;;;;;;;;;;;Chukchi;true;;;;;;;;;;;
cku;;;;;;;;;;;;;;Koasati;true;;;;;;;;;;;
cmn;pdf;full text (the north wind and the sun);unk;;;IPA;the-principles-of-the-international-phonetic-association-1949.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Pekinese;Mandarin Chinese;true;;;;;;;;;;;
cmn;text file;word list;Broad;133’686;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Mandarin Chinese;true;Han;WikiPron Data, mined from Wiktionary;;;;;;;;;
cmn;pdf;full text (the north wind and the sun);unk;552;low;IPA;theNorthWindAndTheSun/standard-chinese-beijing.pdf;theNorthWindAndTheSun/cmn-orthographic.txt;theNorthWindAndTheSun/cmn.txt;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/principles-of-the-international-phonetic-association-1949/ABD87488D9A321AFB8E5E67DF49EF6AF;09.07.2021;1;Pekinese;Mandarin Chinese;true;;;;;;;;;;;
cnk;text file;word list;Broad;307;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Khumi Chin;false;Latin;;;;;;;;;;
cop;text file;word list;Broad;418;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Coptic;false;Coptic;;;;;;;;;;
cor;text file;word list;Broad;124;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Cornish;false;Latin;;;;;;;;;;
cor;text file;word list;Narrow;680;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Cornish;false;Latin;;;;;;;;;;
cos;text file;word list;Broad;188;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Corsican;false;Latin;;;;;;;;;;
crk;text file;word list;Broad;152;low;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Plains Cree;true;Canadian Aboriginal;WikiPron Data, mined from Wiktionary;;;;;;;;;
crk;text file;word list;Broad;193;low;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Plains Cree;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
crx;text file;word list;Broad;175;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Carrier;false;Canadian Aboriginal;;;;;;;;;;
cym;text file;word list;Broad;8’530;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;North Wales;Welsh;false;Latin;;;;;;;;;;
cym;text file;word list;Broad;8’473;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;North Wales;Welsh;false;Latin;;;;;;;;;;
cym;text file;word list;Narrow;561;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;North Wales;Welsh;false;Latin;;;;;;;;;;
cym;text file;word list;Broad;9’999;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;South Wales;Welsh;false;Latin;;;;;;;;;;
cym;text file;word list;Broad;9’925;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;South Wales;Welsh;false;Latin;;;;;;;;;;
cym;text file;word list;Narrow;601;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;South Wales;Welsh;false;Latin;;;;;;;;;;
dan;text file;word list;Broad;4’250;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Danish;false;Latin;;;;;;;;;;
dan;text file;word list;Narrow;7’972;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Danish;false;Latin;;;;;;;;;;
deu;text file;word list;Broad;35’486;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;German;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
